Date,Day
2020-01-01,New Year Day
2020-06-19,Midsummer Eve
2020-06-20,Midsummer Day
2020-12-23,Uppsitt Day
2020-12-24,Christmas Eve
2020-12-25,Christmas Day
2020-12-31,New Year Eve
2021-01-01,New Year Day
2021-06-25,Midsummer Eve
2021-06-26,Midsummer Day
2021-12-23,Uppsitt Day
2021-12-24,Christmas Eve
2021-12-25,Christmas Day
2021-12-31,New Year Eve
2022-01-01,New Year Day
2022-06-24,Midsummer Eve
2022-06-25,Midsummer Day
2022-12-23,Uppsitt Day
2022-12-24,Christmas Eve
2022-12-25,Christmas Day
2022-12-31,New Year Eve
2023-01-01,New Year Day
