name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
uppsala,2020-01-01,5.2,1.9,3.3,1.2,-3,-0.6,-1.6,70.6,0,0,0,,0,0,42.7,27.9,247.3,1012.7,31.5,44.7,7.1,0.6,0,,2020-01-01T08:50:41,2020-01-01T14:55:01,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02486099999,02490099999,02456099999,02443099999,02458099999,02481099999,F4490"
uppsala,2020-01-02,6.8,4.7,6,2.9,1.2,1.9,2.8,79.9,0,0,0,,0,0,60.4,41.8,245.3,1006.2,71.6,29.4,12.8,1,1,,2020-01-02T08:50:13,2020-01-02T14:56:27,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02486099999,02490099999,02456099999,02443099999,02458099999,02481099999,F4490"
uppsala,2020-01-03,7.6,2.6,5.7,3.1,-2.5,0.9,0.2,69.3,0.382,100,8.33,rain,0,0,67.1,38.7,236.9,994.8,71,47.6,6.1,0.6,0,,2020-01-03T08:49:40,2020-01-03T14:57:57,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"02486099999,02490099999,02456099999,02443099999,02458099999,02481099999,F4490"
uppsala,2020-01-04,3.5,0.1,1.8,-1.9,-6,-3.9,-6,56.5,0,0,0,,0,0,53.5,35,288.7,997.8,17.8,48.8,12.9,1,1,,2020-01-04T08:49:02,2020-01-04T14:59:31,0.31,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02490099999,C8398,02456099999,02443099999,02458099999,02481099999,F4490"
uppsala,2020-01-05,2.6,-2.9,-0.8,-0.3,-7.2,-5.5,-4,79.4,1.713,100,29.17,"rain,snow",0,0,39.1,31.4,243.6,1018.2,46.1,38,15.2,1.4,1,,2020-01-05T08:48:18,2020-01-05T15:01:10,0.36,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with rain or snow.,rain,"02486099999,02490099999,02456099999,02443099999,02458099999,02481099999,F4490"
uppsala,2020-01-06,6.1,1.2,3.8,2.8,-1.7,1.2,3.6,98.6,0.002,100,4.17,rain,0,0,31.8,17.6,233.6,1013.2,93.2,24.6,4.4,0.4,0,,2020-01-06T08:47:30,2020-01-06T15:02:53,0.4,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"02486099999,02490099999,02456099999,02443099999,02458099999,02481099999,F4490"
uppsala,2020-01-07,6.1,5.1,5.4,3.3,0.8,1.6,4.1,91.3,0.01,100,16.67,rain,0,0,39.6,28.1,215.2,1010.4,96.8,33.8,5.1,0.4,0,,2020-01-07T08:46:37,2020-01-07T15:04:40,0.44,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"02486099999,02490099999,02456099999,02443099999,02458099999,02481099999,F4490"
uppsala,2020-01-08,10.1,3.7,6.8,10.1,-1.2,2.9,2.8,75.9,0,0,0,,0,0,53.5,35.1,230.5,999.1,56.2,40.5,6.3,0.6,0,,2020-01-08T08:45:40,2020-01-08T15:06:30,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02486099999,02490099999,C8398,02456099999,02443099999,02458099999,02481099999"
uppsala,2020-01-09,3.4,-1.9,1.4,1.3,-2.7,-1.1,-0.7,86.2,0,0,0,,0,0,39.3,24.6,241,1008.4,21.1,27.8,9,0.8,1,,2020-01-09T08:44:38,2020-01-09T15:08:24,0.49,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"02486099999,02490099999,C8398,ESCM,02456099999,02443099999,02458099999,02481099999"
uppsala,2020-01-10,-1.1,-7.3,-3.3,-1.1,-7.5,-4.5,-3.9,96,0.001,100,4.17,"rain,snow",0,0,10.7,7.2,332,1013.5,40,27,7.9,0.7,1,,2020-01-10T08:43:31,2020-01-10T15:10:21,0.5,"Snow, Rain, Partially cloudy",Clearing in the afternoon with early morning snow or rain.,snow,"02486099999,02490099999,C8398,02456099999,02443099999,02458099999,02481099999,F4490"
